Wavelength	OC32S		O13CS		OC33S		OC34S	
nm	cm2	1s	cm2	1s	cm2	1s	cm2	1s
260	2.44617E-21	4.45620E-22	2.64539E-21	3.02599E-22	2.77671E-21	4.23093E-22	2.70637E-21	1.59547E-22
259.98	3.14187E-21	7.99630E-22	2.56670E-21	4.59335E-22	2.88667E-21	3.67921E-22	2.86992E-21	3.94749E-22
259.96	2.79696E-21	6.48961E-22	2.63885E-21	3.81370E-22	2.82036E-21	4.54433E-22	2.99689E-21	2.84760E-22
259.94	2.95098E-21	6.25105E-22	2.53327E-21	4.86011E-22	2.64818E-21	2.55715E-22	2.71427E-21	3.84398E-22
259.92	2.80177E-21	6.14096E-22	2.30117E-21	3.23134E-22	2.59116E-21	4.16798E-22	2.61799E-21	1.69962E-22
259.9	2.79043E-21	3.50665E-22	2.24900E-21	4.30440E-22	2.79888E-21	3.03266E-22	2.69578E-21	2.46200E-22
259.88	2.87880E-21	6.54664E-22	2.38664E-21	3.49196E-22	2.83280E-21	4.96962E-22	2.87490E-21	5.28683E-22
259.86	2.66883E-21	4.37241E-22	2.61176E-21	3.15491E-22	2.85868E-21	4.31094E-22	2.69253E-21	2.82857E-22
259.84	2.67551E-21	3.86766E-22	2.89671E-21	6.42839E-22	2.81938E-21	3.79556E-22	2.64882E-21	3.02270E-22
259.82	2.87747E-21	3.56619E-22	2.73523E-21	6.85710E-22	2.83175E-21	4.86110E-22	2.65959E-21	3.62445E-22
259.8	2.81521E-21	3.37206E-22	2.84866E-21	5.46107E-22	2.95459E-21	2.81660E-22	2.77860E-21	3.44487E-22
259.78	2.65548E-21	3.97085E-22	2.80752E-21	3.90981E-22	2.90619E-21	5.39235E-22	2.59109E-21	3.93546E-22
259.76	2.96474E-21	3.62708E-22	2.97816E-21	5.49163E-22	2.84114E-21	3.03293E-22	2.51637E-21	4.19328E-22
259.74	2.62986E-21	8.55281E-22	2.88789E-21	6.18350E-22	2.99876E-21	3.59124E-22	2.75393E-21	3.63798E-22
259.72	2.78789E-21	4.45911E-22	2.79936E-21	6.42857E-22	2.80817E-21	4.37166E-22	2.90911E-21	5.05329E-22
259.7	2.77549E-21	1.71693E-22	2.84434E-21	5.37656E-22	2.99283E-21	3.18847E-22	2.69505E-21	3.80251E-22
259.68	2.83388E-21	3.98244E-22	3.06076E-21	6.30417E-22	2.94478E-21	2.21354E-22	2.85433E-21	3.79831E-22
259.66	2.91150E-21	4.59268E-22	2.79061E-21	6.58593E-22	2.66958E-21	2.96691E-22	3.18275E-21	1.80835E-22
259.64	2.93653E-21	4.63164E-22	2.98277E-21	7.47071E-22	2.81300E-21	2.67882E-22	3.03164E-21	3.23640E-22
259.62	2.76886E-21	6.61016E-22	2.79446E-21	5.69459E-22	2.99669E-21	1.46920E-22	2.76208E-21	5.77229E-22
259.6	2.90922E-21	7.47900E-22	2.79635E-21	5.05252E-22	2.82198E-21	5.95466E-22	2.73046E-21	4.00049E-22
259.58	2.80052E-21	4.68999E-22	3.22204E-21	7.05653E-22	2.88090E-21	4.56750E-22	2.75404E-21	2.49140E-22
259.56	3.13585E-21	5.76078E-22	2.76275E-21	4.04181E-22	2.76409E-21	3.41050E-22	3.20030E-21	3.29578E-22
259.54	3.03452E-21	2.78099E-22	3.06152E-21	5.45111E-22	2.84068E-21	4.24710E-22	2.83918E-21	3.58886E-22
259.52	2.64444E-21	7.15547E-22	3.04056E-21	6.37395E-22	2.95137E-21	3.19857E-22	2.72706E-21	3.20671E-22
259.5	2.86954E-21	9.67136E-22	3.00467E-21	4.90923E-22	2.89704E-21	4.15139E-22	2.84384E-21	2.63627E-22
259.48	2.94231E-21	5.28341E-22	3.07926E-21	6.17842E-22	3.05355E-21	3.45096E-22	2.86036E-21	4.81848E-22
259.46	2.74595E-21	6.39691E-22	3.05801E-21	4.65938E-22	2.91668E-21	3.14691E-22	3.10085E-21	3.64416E-22
