  z(km)  (13C)/(12C)CO2 	(13C)/(12C)CO
   0.00  1.00000		1.00000
   1.00  1.00000		1.00000
   2.00  1.00000		1.00000
   3.00  1.00000		1.00000
   4.00  1.00000		1.00000
   5.00  1.00000		1.00000
   6.00  1.00000		1.00000
   7.00  1.00000		1.00000
   8.00  1.00000		1.00000
   9.00  1.00000		1.00000
  10.00  1.00000		1.00000
  11.00  1.00000		1.00000
  12.00  1.00000		1.00000
  13.00  1.00000		1.00000
  14.00  1.00000		1.00000
  15.00  1.00000		1.00000
  16.00  1.00000		1.00000
  17.00  1.00000		1.00000
  18.00  1.00000		1.00000
  19.00  1.00000		1.00000
  20.00  1.00000		1.00000
  21.00  1.00000		1.00000
  22.00  1.00000		1.00000
  23.00  1.00000		1.00000
  24.00  1.00000		1.00000
  25.00  1.00000		1.00000
  26.00  1.00000		1.00000
  27.00  1.00000		1.00000
  28.00  1.00000		1.00000
  29.00  1.00000		1.00000
  30.00  1.00000		1.00000
  31.00  1.00000		1.00000
  32.00  1.00000		1.00000
  33.00  1.00000		1.00000
  34.00  1.00000		1.00000
  35.00  1.00000		1.00000
  36.00  1.00000		1.00000
  37.00  1.00000		1.00000
  38.00  1.00000		1.00000
  39.00  1.00000		1.00000
  40.00  1.00000		1.00000
  41.00  1.00000		1.00000
  42.00  1.00000		1.00000
  43.00  1.00000		1.00000
  44.00  1.00000		1.00000
  45.00  1.00000		1.00000
  46.00  1.00000		1.00000
  47.00  1.00000		1.00000
  48.00  1.00000		1.00000
  49.00  1.00000		1.00000
  50.00  1.00000		1.00000
  51.00  1.00000		1.00000
  52.00  1.00000		1.00000
  53.00  1.00000		1.00000
  54.00  1.00000		1.00000
  55.00  1.00000		1.00000
  56.00  1.00000		1.00000
  57.00  1.00000		1.00000
  58.00  1.00000		1.00000
  59.00  1.00000		1.00000
  60.00  1.00000		1.00000
  61.00  1.00000		1.00000
  62.00  1.00000		1.00000
  63.00  1.00000		1.00000
  64.00  1.00000		1.00000
  65.00  1.00000		1.00000
  66.00  1.00000		1.00000
  67.00  1.00000		1.00000
  68.00  1.00000		1.00000
  69.00  1.00000		1.00000
  70.00  1.00000		1.00000
  71.00  1.00000		1.00000
  72.00  1.00000		1.00000
  73.00  1.00000		1.00000
  74.00  1.00000		1.00000
  75.00  1.00000		1.00000
  76.00  1.00000		1.00000
  77.00  1.00000		1.00000
  78.00  1.00000		1.00000
  79.00  1.00000		1.00000
  80.00  1.00000		1.00000
  81.00  1.00000		1.00000
  82.00  1.00000		1.00000
  83.00  1.00000		1.00000
  84.00  1.00000		1.00000
  85.00  1.00000		1.00000
  86.00  1.00000		1.00000
  87.00  1.00000		1.00000
  88.00  1.00000		1.00000
  89.00  1.00000		1.00000
  90.00  1.00000		1.00000
  91.00  1.00000		1.00000
  92.00  1.00000		1.00000
  93.00  1.00000		1.00000
  94.00  1.00000		1.00000
  95.00  1.00000		1.00000
  96.00  1.00000		1.00000
  97.00  1.00000		1.00000
  98.00  1.00000		1.00000
  99.00  1.00000		1.00000
 100.00  1.00000		1.00000
 101.00  1.00000		1.00000
 102.00  1.00000		1.00000
 103.00  1.00000		1.00000
 104.00  1.00000		1.00000
 105.00  1.00000		1.00000
 106.00  1.00000		1.00000
 107.00  1.00000		1.00000
 108.00  1.00000		1.00000
 109.00  1.00000		1.00000
 110.00  1.00000		1.00000
 111.00  1.00000		1.00000
 112.00  1.00000		1.00000
 113.00  1.00000		1.00000
 114.00  1.00000		1.00000
 115.00  1.00000		1.00000
 116.00  1.00000		1.00000
 117.00  1.00000		1.00000
 118.00  1.00000		1.00000
 119.00  1.00000		1.00000
 120.00  1.00000		1.00000
 121.00  1.00000		1.00000
 122.00  1.00000		1.00000
 123.00  1.00000		1.00000
 124.00  1.00000		1.00000
 125.00  1.00000		1.00000
 126.00  1.00000		1.00000
 127.00  1.00000		1.00000
 128.00  1.00000		1.00000
 129.00  1.00000		1.00000
 130.00  1.00000		1.00000
 131.00  1.00000		1.00000
 132.00  1.00000		1.00000
 133.00  1.00000		1.00000
 134.00  1.00000		1.00000
 135.00  1.00000		1.00000
 136.00  1.00000		1.00000
 137.00  1.00000		1.00000
 138.00  1.00000		1.00000
 139.00  1.00000		1.00000
 140.00  1.00000		1.00000
 141.00  1.00000		1.00000
 142.00  1.00000		1.00000
 143.00  1.00000		1.00000
 144.00  1.00000		1.00000
 145.00  1.00000		1.00000
 146.00  1.00000		1.00000
 147.00  1.00000		1.00000
 148.00  1.00000		1.00000
 149.00  1.00000		1.00000
 150.00  1.00000		1.00000
 151.00  1.00000		1.00000
 152.00  1.00000		1.00000
 153.00  1.00000		1.00000
 154.00  1.00000		1.00000
 155.00  1.00000		1.00000
 156.00  1.00000		1.00000
 157.00  1.00000		1.00000
 158.00  1.00000		1.00000
 159.00  1.00000		1.00000
 160.00  1.00000		1.00000
 161.00  1.00000		1.00000
 162.00  1.00000		1.00000
 163.00  1.00000		1.00000
 164.00  1.00000		1.00000
 165.00  1.00000		1.00000
 166.00  1.00000		1.00000
 167.00  1.00000		1.00000
 168.00  1.00000		1.00000
 169.00  1.00000		1.00000
 170.00  1.00000		1.00000
 171.00  1.00000		1.00000
 172.00  1.00000		1.00000
 173.00  1.00000		1.00000
 174.00  1.00000		1.00000
 175.00  1.00000		1.00000
 176.00  1.00000		1.00000
 177.00  1.00000		1.00000
 178.00  1.00000		1.00000
 179.00  1.00000		1.00000
 180.00  1.00000		1.00000
 181.00  1.00000		1.00000
 182.00  1.00000		1.00000
 183.00  1.00000		1.00000
 184.00  1.00000		1.00000
 185.00  1.00000		1.00000
 186.00  1.00000		1.00000
 187.00  1.00000		1.00000
 188.00  1.00000		1.00000
 189.00  1.00000		1.00000
 190.00  1.00000		1.00000
 191.00  1.00000		1.00000
 192.00  1.00000		1.00000
 193.00  1.00000		1.00000
 194.00  1.00000		1.00000
 195.00  1.00000		1.00000
 196.00  1.00000		1.00000
 197.00  1.00000		1.00000
 198.00  1.00000		1.00000
 199.00  1.00000		1.00000
 200.00  1.00000		1.00000
 201.00  1.00000		1.00000
 202.00  1.00000		1.00000
 203.00  1.00000		1.00000
 204.00  1.00000		1.00000
 205.00  1.00000		1.00000
 206.00  1.00000		1.00000
 207.00  1.00000		1.00000
 208.00  1.00000		1.00000
 209.00  1.00000		1.00000
 210.00  1.00000		1.00000
 211.00  1.00000		1.00000
 212.00  1.00000		1.00000
 213.00  1.00000		1.00000
 214.00  1.00000		1.00000
 215.00  1.00000		1.00000
 216.00  1.00000		1.00000
 217.00  1.00000		1.00000
 218.00  1.00000		1.00000
 219.00  1.00000		1.00000
 220.00  1.00000		1.00000
 221.00  1.00000		1.00000
 222.00  1.00000		1.00000
 223.00  1.00000		1.00000
 224.00  1.00000		1.00000
 225.00  1.00000		1.00000
 226.00  1.00000		1.00000
 227.00  1.00000		1.00000
 228.00  1.00000		1.00000
 229.00  1.00000		1.00000
 230.00  1.00000		1.00000
 231.00  1.00000		1.00000
 232.00  1.00000		1.00000
 233.00  1.00000		1.00000
 234.00  1.00000		1.00000
 235.00  1.00000		1.00000
 236.00  1.00000		1.00000
 237.00  1.00000		1.00000
 238.00  1.00000		1.00000
 239.00  1.00000		1.00000
 240.00  1.00000		1.00000
 241.00  1.00000		1.00000
 242.00  1.00000		1.00000
 243.00  1.00000		1.00000
 244.00  1.00000		1.00000
 245.00  1.00000		1.00000
 246.00  1.00000		1.00000
 247.00  1.00000		1.00000
 248.00  1.00000		1.00000
 249.00  1.00000		1.00000
 250.00  1.00000		1.00000
 300.00  1.00000		1.00000
