 z(km)    T(K)      p(mb)         NT(cm-3)        CO2VMR         ARVMR         N2VMR         O2VMR          COVMR          O3PVMR         H2VMR 
   0   210.000   0.600000E+01   0.209686E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   1   208.733   0.547557E+01   0.192520E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   2   207.467   0.499446E+01   0.176675E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   3   206.114   0.455312E+01   0.162121E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   4   204.752   0.414845E+01   0.148694E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   5   203.333   0.377751E+01   0.136343E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   6   201.857   0.343756E+01   0.124981E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   7   200.329   0.312614E+01   0.114525E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   8   198.767   0.284097E+01   0.104896E+18   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
   9   197.181   0.257997E+01   0.960256E+17   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
  10   195.590   0.234125E+01   0.878493E+17   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
  11   194.010   0.212306E+01   0.803110E+17   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-11   0.150000E-04
  12   192.462   0.192380E+01   0.733588E+17   0.953200E+00   0.160000E-01   0.270000E-01   0.130000E-02   0.800000E-03   0.200000E-10   0.150000E-04
