  z(km)       hvmr          ohvmr          ho2vmr         h2ovmr        h2o2vmr         o1dvmr         o3vmr
   0.00   1.995260e-13   6.309580e-13   4.540910e-10   4.323170e-05   8.483430e-09   1.236250e-18   2.000000e-08
   1.00   2.400840e-13   7.165360e-13   4.854480e-10   4.323170e-05   8.411790e-09   1.260490e-18   2.000000e-08
   2.00   3.039520e-13   8.137230e-13   5.189710e-10   4.323170e-05   8.340780e-09   1.291380e-18   2.000000e-08
   3.00   3.812910e-13   9.240900e-13   5.548080e-10   4.323170e-05   8.270340e-09   1.323020e-18   2.000000e-08
   4.00   4.721250e-13   1.051510e-12   5.831070e-10   4.323170e-05   8.208910e-09   1.355520e-18   2.000000e-08
   5.00   5.837590e-13   1.213950e-12   6.044280e-10   4.323170e-05   8.208910e-09   1.390600e-18   2.000000e-08
   6.00   7.188260e-13   1.401480e-12   6.265280e-10   4.323170e-05   8.208910e-09   1.426590e-18   2.000000e-08
   7.00   8.851420e-13   1.617990e-12   6.494370e-10   4.323170e-05   8.293050e-09   1.463510e-18   2.000000e-08
   8.00   1.080580e-12   1.835800e-12   6.778000e-10   4.323170e-05   8.452790e-09   1.494470e-18   2.000000e-08
   9.00   1.317740e-12   2.040400e-12   7.080120e-10   4.323170e-05   8.615600e-09   1.518780e-18   2.000000e-08
  10.00   1.602040e-12   2.267800e-12   7.395700e-10   4.323170e-05   8.791870e-09   1.543490e-18   2.000000e-08
  11.00   1.945530e-12   2.577740e-12   7.752900e-10   4.323170e-05   9.084170e-09   1.568600e-18   2.000000e-08
  12.00   2.392530e-12   2.964830e-12   8.131660e-10   4.323170e-05   9.386190e-09   1.623380e-18   2.000000e-08
  13.00   3.008060e-12   3.411170e-12   8.528900e-10   4.323170e-05   9.689990e-09   1.691130e-18   2.000000e-08
  14.00   3.781940e-12   3.941840e-12   8.925570e-10   4.323170e-05   9.889220e-09   1.761690e-18   2.000000e-08
  15.00   4.685050e-12   4.555090e-12   9.312120e-10   4.323170e-05   1.009250e-08   1.841170e-18   2.000000e-08
  16.00   5.792390e-12   5.263730e-12   9.715410e-10   4.323170e-05   1.030000e-08   1.926090e-18   2.000000e-08
  17.00   7.470210e-12   6.082610e-12   1.013620e-09   4.323170e-05   1.033440e-08   2.014920e-18   2.000000e-08
  18.00   9.615760e-12   7.084110e-12   1.056540e-09   4.323170e-05   1.033440e-08   2.115680e-18   2.000000e-08
  19.00   1.219260e-11   8.252240e-12   1.100430e-09   4.323170e-05   1.033440e-08   2.233300e-18   2.000000e-08
  20.00   1.550520e-11   9.565640e-12   1.146140e-09   4.323170e-05   1.033440e-08   2.357470e-18   2.000000e-08
  21.00   1.999640e-11   1.100210e-11   1.186770e-09   4.323170e-05   1.018460e-08   2.490440e-18   2.000000e-08
  22.00   2.568700e-11   1.265430e-11   1.212930e-09   4.323170e-05   1.003030e-08   2.668320e-18   2.000000e-08
  23.00   3.257050e-11   1.506810e-11   1.239670e-09   4.323170e-05   9.572400e-09   2.858890e-18   2.000000e-08
  24.00   4.101230e-11   1.809670e-11   1.251910e-09   4.323170e-05   9.064560e-09   3.063070e-18   2.000000e-08
  25.00   5.078250e-11   2.173420e-11   1.228250e-09   4.323170e-05   8.583690e-09   3.295950e-18   2.000000e-08
  26.00   6.338240e-11   2.537630e-11   1.205040e-09   4.323170e-05   7.754830e-09   3.688130e-18   2.000000e-08
  27.00   8.313990e-11   2.900200e-11   1.182260e-09   4.323170e-05   6.929530e-09   4.126970e-18   2.000000e-08
  28.00   1.089650e-10   3.314580e-11   1.145470e-09   4.323170e-05   6.382790e-09   4.643460e-18   2.000000e-08
  29.00   1.423270e-10   3.804670e-11   1.107270e-09   4.323170e-05   5.879200e-09   5.412790e-18   2.000000e-08
  30.00   1.847850e-10   4.507830e-11   1.070350e-09   4.323170e-05   5.336700e-09   6.309560e-18   2.000000e-08
  31.00   2.383100e-10   5.344240e-11   1.034650e-09   4.323170e-05   4.645290e-09   7.249460e-18   2.000000e-08
  32.00   3.232590e-10   6.353460e-11   9.804590e-10   4.304640e-05   4.043460e-09   8.237370e-18   2.000000e-08
  33.00   4.570880e-10   7.553250e-11   9.284430e-10   3.725690e-05   3.637160e-09   9.406350e-18   2.000000e-08
  34.00   5.894900e-10   8.979610e-11   8.791890e-10   3.250130e-05   3.285280e-09   1.096480e-17   2.000000e-08
  35.00   7.664610e-10   1.134800e-10   8.532400e-10   2.875850e-05   2.980480e-09   1.278140e-17   2.000000e-08
  36.00   1.086430e-09   1.439740e-10   8.291690e-10   2.518140e-05   2.704610e-09   1.513890e-17   2.000000e-08
  37.00   1.640050e-09   1.953690e-10   8.057750e-10   2.182640e-05   2.400240e-09   1.892070e-17   2.000000e-08
  38.00   2.592470e-09   2.560600e-10   7.453840e-10   1.958550e-05   2.095720e-09   2.378790e-17   2.000000e-08
  39.00   3.954960e-09   3.075280e-10   6.563610e-10   1.757460e-05   1.858860e-09   3.309470e-17   2.000000e-08
  40.00   5.265360e-09   3.693410e-10   5.779690e-10   1.573470e-05   1.663560e-09   4.604240e-17   2.000000e-08
  41.00   7.431010e-09   4.393960e-10   4.601720e-10   1.407840e-05   1.496530e-09   6.608090e-17   2.000000e-08
  42.00   1.079300e-08   4.393960e-10   3.629180e-10   1.246820e-05   1.365570e-09   9.728650e-17   2.000000e-08
  43.00   1.356970e-08   4.393960e-10   2.736680e-10   1.100170e-05   1.244110e-09   1.342360e-16   2.000000e-08
  44.00   1.706080e-08   4.229470e-10   2.056570e-10   9.943820e-06   1.119350e-09   1.843480e-16   2.000000e-08
  45.00   2.145010e-08   3.630780e-10   1.541480e-10   9.084590e-06   1.007110e-09   2.450680e-16   2.000000e-08
  46.00   2.696850e-08   3.116840e-10   1.132080e-10   8.069600e-06   9.015120e-10   3.257860e-16   2.000000e-08
  47.00   3.073920e-08   2.674640e-10   8.171200e-11   7.076530e-06   7.978890e-10   4.237460e-16   2.000000e-08
  48.00   3.456850e-08   2.246520e-10   6.255840e-11   6.287760e-06   7.061780e-10   5.301680e-16   2.000000e-08
  49.00   3.888260e-08   1.886930e-10   4.807340e-11   5.589150e-06   6.262200e-10   6.633170e-16   2.000000e-08
  50.00   4.383660e-08   1.584890e-10   3.727590e-11   4.983460e-06   5.682580e-10   8.040150e-16   2.000000e-08
  51.00   4.942180e-08   1.323310e-10   2.936200e-11   4.450680e-06   5.156600e-10   9.664020e-16   2.000000e-08
  52.00   5.557210e-08   1.104900e-10   2.380360e-11   3.993730e-06   4.597430e-10   1.117340e-15   2.000000e-08
  53.00   5.997910e-08   9.318870e-11   1.906720e-11   3.583430e-06   4.068980e-10   1.278920e-15   2.000000e-08
  54.00   6.473560e-08   7.906380e-11   1.516550e-11   3.206220e-06   3.641950e-10   1.416540e-15   2.000000e-08
  55.00   6.986920e-08   6.708000e-11   1.223810e-11   2.868720e-06   3.289590e-10   1.568970e-15   2.000000e-08
  56.00   7.591490e-08   5.698630e-11   1.003560e-11   2.590200e-06   2.971340e-10   1.733460e-15   2.000000e-08
  57.00   8.283320e-08   4.842460e-11   8.127730e-12   2.339120e-06   2.704230e-10   1.853710e-15   2.000000e-08
  58.00   9.038200e-08   4.114920e-11   6.409990e-12   2.097730e-06   2.461800e-10   1.982310e-15   2.000000e-08
  59.00   9.824330e-08   3.460320e-11   5.165860e-12   1.876920e-06   2.232500e-10   2.119820e-15   2.000000e-08
  60.00   1.065110e-07   2.889210e-11   4.313250e-12   1.692720e-06   1.985190e-10   2.239400e-15   2.000000e-08
