  z(km)     nvmr          novmr        no2vmr        n2dvmr
   0.00  1.00000e-11   4.00000e-10   1.00000e-10   1.00000e-15
   1.00  1.00000e-11   4.10000e-10   1.00000e-10   1.00000e-15
   2.00  1.00000e-11   4.20000e-10   1.00000e-10   1.00000e-15
   3.00  1.00000e-11   4.30000e-10   1.00000e-10   1.00000e-15
   4.00  1.00000e-11   4.40000e-10   1.00000e-10   1.00000e-15
   5.00  1.00000e-11   4.50000e-10   1.00000e-10   1.00000e-15
   6.00  1.00000e-11   4.60000e-10   1.00000e-10   1.00000e-15
   7.00  1.00000e-11   4.70000e-10   1.00000e-10   1.00000e-15
   8.00  1.00000e-11   4.80000e-10   1.00000e-10   1.00000e-15
   9.00  1.00000e-11   4.90000e-10   1.00000e-10   1.00000e-15
  10.00  1.00000e-11   5.00000e-10   1.00000e-10   1.00000e-15
  11.00  1.00000e-11   5.10000e-10   1.00000e-10   1.00000e-15
  12.00  1.00000e-11   5.20000e-10   1.00000e-10   1.00000e-15
  13.00  1.00000e-11   5.30000e-10   1.00000e-10   1.00000e-15
  14.00  1.00000e-11   5.40000e-10   1.00000e-10   1.00000e-15
  15.00  1.00000e-11   5.50000e-10   1.00000e-10   1.00000e-15
  16.00  1.00000e-11   5.60000e-10   1.00000e-10   1.00000e-15
  17.00  1.00000e-11   5.70000e-10   1.00000e-10   1.00000e-15
  18.00  1.00000e-11   5.80000e-10   1.00000e-10   1.00000e-15
  19.00  1.00000e-11   5.90000e-10   1.00000e-10   1.00000e-15
  20.00  1.00000e-11   6.00000e-10   1.00000e-10   1.00000e-15
  21.00  1.00000e-11   6.20000e-10   1.00000e-10   1.00000e-15
  22.00  1.00000e-11   6.40000e-10   1.00000e-10   1.00000e-15
  23.00  1.00000e-11   6.60000e-10   1.00000e-10   1.00000e-15
  24.00  1.00000e-11   6.80000e-10   1.00000e-10   1.00000e-15
  25.00  1.00000e-11   7.00000e-10   1.00000e-10   1.00000e-15
  26.00  1.00000e-11   7.20000e-10   1.00000e-10   1.00000e-15
  27.00  1.00000e-11   7.40000e-10   1.00000e-10   1.00000e-15
  28.00  1.00000e-11   7.60000e-10   1.00000e-10   1.00000e-15
  29.00  1.00000e-11   7.80000e-10   1.00000e-10   1.00000e-15
  30.00  1.00000e-11   8.00000e-10   1.00000e-10   1.00000e-15
  31.00  1.00000e-11   8.10000e-10   1.00000e-10   1.00000e-15
  32.00  1.00000e-11   8.20000e-10   1.00000e-10   1.00000e-15
  33.00  1.00000e-11   8.30000e-10   1.00000e-10   1.00000e-15
  34.00  1.00000e-11   8.40000e-10   1.00000e-10   1.00000e-15
  35.00  1.00000e-11   8.50000e-10   1.00000e-10   1.00000e-15
  36.00  1.00000e-11   8.60000e-10   1.00000e-10   1.00000e-15
  37.00  1.00000e-11   8.70000e-10   1.00000e-10   1.00000e-15
  38.00  1.00000e-11   8.80000e-10   1.00000e-10   1.00000e-15
  39.00  1.00000e-11   8.90000e-10   1.00000e-10   1.00000e-15
  40.00  1.00000e-11   9.00000e-10   1.00000e-10   1.00000e-15
  41.00  1.20000e-11   9.10000e-10   1.00000e-10   1.00000e-15
  42.00  1.40000e-11   9.20000e-10   1.00000e-10   1.00000e-15
  43.00  1.60000e-11   9.30000e-10   1.00000e-10   1.00000e-15
  44.00  1.80000e-11   9.40000e-10   1.00000e-10   1.00000e-15
  45.00  2.00000e-11   9.50000e-10   1.00000e-10   1.00000e-15
  46.00  2.20000e-11   9.60000e-10   1.00000e-10   1.00000e-15
  47.00  2.40000e-11   9.70000e-10   1.00000e-10   1.00000e-15
  48.00  2.60000e-11   9.80000e-10   1.00000e-10   1.00000e-15
  49.00  2.80000e-11   9.90000e-10   1.00000e-10   1.00000e-15
  50.00  3.00000e-11   1.00000e-09   1.00000e-10   1.00000e-15
  51.00  6.70000e-11   1.10000e-09   1.00000e-10   1.00000e-15
  52.00  1.04000e-10   1.20000e-09   1.00000e-10   1.00000e-15
  53.00  1.41000e-10   1.30000e-09   1.00000e-10   1.00000e-15
  54.00  1.78000e-10   1.40000e-09   1.00000e-10   1.00000e-15
  55.00  2.15000e-10   1.50000e-09   1.00000e-10   1.00000e-15
  56.00  2.52000e-10   1.60000e-09   1.00000e-10   1.00000e-15
  57.00  2.89000e-10   1.70000e-09   1.00000e-10   1.00000e-15
  58.00  3.26000e-10   1.80000e-09   1.00000e-10   1.00000e-15
  59.00  3.63000e-10   1.90000e-09   1.00000e-10   1.00000e-15
  60.00  4.00000e-10   2.00000e-09   1.00000e-10   1.00000e-15
  61.00  8.60000e-10   2.80000e-09   1.00000e-10   1.00000e-15
  62.00  1.32000e-09   3.60000e-09   1.00000e-10   1.00000e-15
  63.00  1.78000e-09   4.40000e-09   1.00000e-10   1.00000e-15
  64.00  2.24000e-09   5.20000e-09   1.00000e-10   1.00000e-15
  65.00  2.70000e-09   6.00000e-09   1.00000e-10   1.00000e-15
  66.00  3.16000e-09   6.80000e-09   1.00000e-10   1.00000e-15
  67.00  3.62000e-09   7.60000e-09   1.00000e-10   1.00000e-15
  68.00  4.08000e-09   8.40000e-09   1.00000e-10   1.00000e-15
  69.00  4.54000e-09   9.20000e-09   1.00000e-10   1.00000e-15
  70.00  5.00000e-09   1.00000e-08   1.00000e-10   1.00000e-15
  71.00  7.50000e-09   1.30000e-08   1.00000e-10   1.00000e-15
  72.00  1.00000e-08   1.60000e-08   1.00000e-10   1.00000e-15
  73.00  1.25000e-08   1.90000e-08   1.00000e-10   1.00000e-15
  74.00  1.50000e-08   2.20000e-08   1.00000e-10   1.00000e-15
  75.00  1.75000e-08   2.50000e-08   1.00000e-10   1.00000e-15
  76.00  2.00000e-08   2.80000e-08   1.00000e-10   1.00000e-15
  77.00  2.25000e-08   3.10000e-08   1.00000e-10   1.00000e-15
  78.00  2.50000e-08   3.40000e-08   1.00000e-10   1.00000e-15
  79.00  2.75000e-08   3.70000e-08   1.00000e-10   1.00000e-15
  80.00  3.00000e-08   4.00000e-08   1.00000e-10   1.00000e-15
  81.00  5.70000e-08   6.60000e-08   1.00000e-10   1.00000e-15
  82.00  8.40000e-08   9.20000e-08   1.00000e-10   1.00000e-15
  83.00  1.11000e-07   1.18000e-07   1.00000e-10   1.00000e-15
  84.00  1.38000e-07   1.44000e-07   1.00000e-10   1.00000e-15
  85.00  1.65000e-07   1.70000e-07   1.00000e-10   1.00000e-15
  86.00  1.92000e-07   1.96000e-07   1.00000e-10   1.00000e-15
  87.00  2.19000e-07   2.22000e-07   1.00000e-10   1.00000e-15
  88.00  2.46000e-07   2.48000e-07   1.00000e-10   1.00000e-15
  89.00  2.73000e-07   2.74000e-07   1.00000e-10   1.00000e-15
  90.00  3.00000e-07   3.00000e-07   1.00000e-10   1.00000e-15
  91.00  3.50000e-07   3.50000e-07   1.00000e-10   1.00000e-15
  92.00  4.00000e-07   4.00000e-07   1.00000e-10   1.00000e-15
  93.00  4.50000e-07   4.50000e-07   1.00000e-10   1.00000e-15
  94.00  5.00000e-07   5.00000e-07   1.00000e-10   1.00000e-15
  95.00  5.50000e-07   5.50000e-07   1.00000e-10   1.00000e-15
  96.00  6.00000e-07   6.00000e-07   1.00000e-10   1.00000e-15
  97.00  6.50000e-07   6.50000e-07   1.00000e-10   1.00000e-15
  98.00  7.00000e-07   7.00000e-07   1.00000e-10   1.00000e-15
  99.00  7.50000e-07   7.50000e-07   1.00000e-10   1.00000e-15
 100.00  8.00000e-07   8.00000e-07   1.00000e-10   1.00000e-15
 101.00  1.12000e-06   1.12000e-06   1.00000e-10   1.00000e-15
 102.00  1.44000e-06   1.44000e-06   1.00000e-10   1.00000e-15
 103.00  1.76000e-06   1.76000e-06   1.00000e-10   1.00000e-15
 104.00  2.08000e-06   2.08000e-06   1.00000e-10   1.00000e-15
 105.00  2.40000e-06   2.40000e-06   1.00000e-10   1.00000e-15
 106.00  2.72000e-06   2.72000e-06   1.00000e-10   1.00000e-15
 107.00  3.04000e-06   3.04000e-06   1.00000e-10   1.00000e-15
 108.00  3.36000e-06   3.36000e-06   1.00000e-10   1.00000e-15
 109.00  3.68000e-06   3.68000e-06   1.00000e-10   1.00000e-15
 110.00  4.00000e-06   4.00000e-06   1.00000e-10   1.00000e-15
 111.00  5.60000e-06   5.60000e-06   1.00000e-10   1.00000e-15
 112.00  7.20000e-06   7.20000e-06   1.00000e-10   1.00000e-15
 113.00  8.80000e-06   8.80000e-06   1.00000e-10   1.00000e-15
 114.00  1.04000e-05   1.04000e-05   1.00000e-10   1.00000e-15
 115.00  1.20000e-05   1.20000e-05   1.00000e-10   1.00000e-15
 116.00  1.36000e-05   1.36000e-05   1.00000e-10   1.00000e-15
 117.00  1.52000e-05   1.52000e-05   1.00000e-10   1.00000e-15
 118.00  1.68000e-05   1.68000e-05   1.00000e-10   1.00000e-15
 119.00  1.84000e-05   1.84000e-05   1.00000e-10   1.00000e-15
 120.00  2.00000e-05   2.00000e-05   1.00000e-10   1.00000e-15
 121.00  2.60000e-05   2.60000e-05   1.00000e-10   1.00000e-15
 122.00  3.20000e-05   3.20000e-05   1.00000e-10   1.00000e-15
 123.00  3.80000e-05   3.80000e-05   1.00000e-10   1.00000e-15
 124.00  4.40000e-05   4.40000e-05   1.00000e-10   1.00000e-15
 125.00  5.00000e-05   5.00000e-05   1.00000e-10   1.00000e-15
 126.00  5.60000e-05   5.60000e-05   1.00000e-10   1.00000e-15
 127.00  6.20000e-05   6.20000e-05   1.00000e-10   1.00000e-15
 128.00  6.80000e-05   6.80000e-05   1.00000e-10   1.00000e-15
 129.00  7.40000e-05   7.40000e-05   1.00000e-10   1.00000e-15
 130.00  8.00000e-05   8.00000e-05   1.00000e-10   1.00000e-15
 131.00  0.000102000   0.000102000   1.00000e-10   1.00000e-15
 132.00  0.000124000   0.000124000   1.00000e-10   1.00000e-15
 133.00  0.000146000   0.000146000   1.00000e-10   1.00000e-15
 134.00  0.000168000   0.000168000   1.00000e-10   1.00000e-15
 135.00  0.000190000   0.000190000   1.00000e-10   1.00000e-15
 136.00  0.000212000   0.000212000   1.00000e-10   1.00000e-15
 137.00  0.000234000   0.000234000   1.00000e-10   1.00000e-15
 138.00  0.000256000   0.000256000   1.00000e-10   1.00000e-15
 139.00  0.000278000   0.000278000   1.00000e-10   1.00000e-15
 140.00  0.000300000   0.000300000   1.00000e-10   1.00000e-15
 141.00  0.000330000   0.000300000   1.00000e-10   1.00000e-15
 142.00  0.000360000   0.000300000   1.00000e-10   1.00000e-15
 143.00  0.000390000   0.000300000   1.00000e-10   1.00000e-15
 144.00  0.000420000   0.000300000   1.00000e-10   1.00000e-15
 145.00  0.000450000   0.000300000   1.00000e-10   1.00000e-15
 146.00  0.000480000   0.000300000   1.00000e-10   1.00000e-15
 147.00  0.000510000   0.000300000   1.00000e-10   1.00000e-15
 148.00  0.000540000   0.000300000   1.00000e-10   1.00000e-15
 149.00  0.000570000   0.000300000   1.00000e-10   1.00000e-15
 150.00  0.000600000   0.000300000   1.00000e-10   1.00000e-15
 151.00  0.000640000   0.000310000   1.00000e-10   1.00000e-15
 152.00  0.000680000   0.000320000   1.00000e-10   1.00000e-15
 153.00  0.000720000   0.000330000   1.00000e-10   1.00000e-15
 154.00  0.000760000   0.000340000   1.00000e-10   1.00000e-15
 155.00  0.000800000   0.000350000   1.00000e-10   1.00000e-15
 156.00  0.000840000   0.000360000   1.00000e-10   1.00000e-15
 157.00  0.000880000   0.000370000   1.00000e-10   1.00000e-15
 158.00  0.000920000   0.000380000   1.00000e-10   1.00000e-15
 159.00  0.000960000   0.000390000   1.00000e-10   1.00000e-15
 160.00  0.001000000   0.000400000   1.00000e-10   1.00000e-15
 161.00  0.001100000   0.000410000   1.00000e-10   1.00000e-15
 162.00  0.001200000   0.000420000   1.00000e-10   1.00000e-15
 163.00  0.001300000   0.000430000   1.00000e-10   1.00000e-15
 164.00  0.001400000   0.000440000   1.00000e-10   1.00000e-15
 165.00  0.001500000   0.000450000   1.00000e-10   1.00000e-15
 166.00  0.001600000   0.000460000   1.00000e-10   1.00000e-15
 167.00  0.001700000   0.000470000   1.00000e-10   1.00000e-15
 168.00  0.001800000   0.000480000   1.00000e-10   1.00000e-15
 169.00  0.001900000   0.000490000   1.00000e-10   1.00000e-15
 170.00  0.002000000   0.000500000   1.00000e-10   1.00000e-15
 171.00  0.002100000   0.000520000   1.00000e-10   1.00000e-15
 172.00  0.002200000   0.000540000   1.00000e-10   1.00000e-15
 173.00  0.002300000   0.000560000   1.00000e-10   1.00000e-15
 174.00  0.002400000   0.000580000   1.00000e-10   1.00000e-15
 175.00  0.002500000   0.000600000   1.00000e-10   1.00000e-15
 176.00  0.002600000   0.000620000   1.00000e-10   1.00000e-15
 177.00  0.002700000   0.000640000   1.00000e-10   1.00000e-15
 178.00  0.002800000   0.000660000   1.00000e-10   1.00000e-15
 179.00  0.002900000   0.000680000   1.00000e-10   1.00000e-15
